geneName	geneLengths	SangerProjectTARGET_ALL_phase1_SRR457643
ENSG00000000003	4535	2.93086943546869
ENSG00000000005	1610	0
ENSG00000000419	1207	330.73263541405
ENSG00000000457	6883	795.584848266032
ENSG00000000460	5967	504.014340645171
ENSG00000000938	3474	395.66057362717
ENSG00000000971	8145	11.4922722643668
ENSG00000001036	2793	43.3578271938478
ENSG00000001084	8463	291.060495538123
ENSG00000001167	3811	1672.63562654811
ENSG00000001460	8511	109.53019488885
ENSG00000001461	9404	1140.42781796917
ENSG00000001497	5589	1209.2386481722
ENSG00000001561	4651	131.773521857337
ENSG00000001617	4826	252.387979344363
ENSG00000001626	8517	1.16962770974621
ENSG00000001629	7130	2587.29129573074
ENSG00000001630	4074	141.41615030164
ENSG00000001631	6204	1690.37724686629
ENSG00000002016	4190	1121.04735882512
ENSG00000002079	6346	10.3702456823428
ENSG00000002330	1708	352.901160610402
ENSG00000002549	3785	1119.30651758271
ENSG00000002586	3284	9141.23216568258
ENSG00000002587	8166	66.3559720447877
ENSG00000002726	3824	1.4212336705637
ENSG00000002745	3261	75.0669784179557
ENSG00000002746	13965	2569.44767299601
ENSG00000002822	7230	1494.19939920078
ENSG00000002834	7061	3482.59370641374
ENSG00000002919	3606	234.632758703972
ENSG00000002933	3479	15.1303584545658
ENSG00000003056	3777	1554.85683624111
ENSG00000003096	6983	1.19002819305573
ENSG00000003137	5015	1.12882674312715
ENSG00000003147	4891	24.1745727217893
ENSG00000003249	4791	66.3015707559623
ENSG00000003393	10384	909.541948033049
ENSG00000003400	7598	4151.19234623907
ENSG00000003402	22529	9726.7192365049
ENSG00000003436	11714	16.5311916418199
ENSG00000003509	3651	1072.54180967617
ENSG00000003756	10368	23558.3965239084
ENSG00000003987	5692	203.311216662745
ENSG00000003989	7905	5.00491857193726
ENSG00000004059	1871	1586.36198263212
ENSG00000004139	11137	725.400385520156
ENSG00000004142	2121	1115.97443864215
ENSG00000004399	9738	6280.98920343147
ENSG00000004455	5727	1863.89015757492
ENSG00000004468	6855	7285.998613192
ENSG00000004478	5180	283.763922674415
ENSG00000004487	5435	3012.17896177936
ENSG00000004534	7302	10258.3150305846
ENSG00000004660	7424	1094.38392713957
ENSG00000004700	3778	1519.95160929851
ENSG00000004766	9454	1044.50474544778
ENSG00000004776	1722	8.01738994064406
ENSG00000004777	5260	3209.0436257163
ENSG00000004779	1600	199.523526928276
ENSG00000004799	4519	276.338146749748
ENSG00000004809	3907	341.708095434575
ENSG00000004838	4009	90.1701362281087
ENSG00000004846	9257	4.20249956176253
ENSG00000004848	3097	0.659615627008035
ENSG00000004864	3710	613.802941655941
ENSG00000004866	6742	22.2909280962097
