geneName	geneLengths	SangerProjectTARGET_ALL_phase1_SRR527438
ENSG00000000003	4535	1.00522632170463
ENSG00000000005	1610	0
ENSG00000000419	1207	621.444915230544
ENSG00000000457	6883	574.584364810781
ENSG00000000460	5967	608.476995567957
ENSG00000000938	3474	107.904294114921
ENSG00000000971	8145	298.562219798233
ENSG00000001036	2793	61.9639508752259
ENSG00000001084	8463	725.17326915331
ENSG00000001167	3811	5015.43920118086
ENSG00000001460	8511	38.1635923429257
ENSG00000001461	9404	320.437144828761
ENSG00000001497	5589	1456.86800658275
ENSG00000001561	4651	22.1799937152241
ENSG00000001617	4826	42.5745854560773
ENSG00000001626	8517	0
ENSG00000001629	7130	1239.0489657095
ENSG00000001630	4074	1084.06907275774
ENSG00000001631	6204	672.991520692284
ENSG00000002016	4190	434.977933117324
ENSG00000002079	6346	2.24050443842625
ENSG00000002330	1708	352.544373611566
ENSG00000002549	3785	5396.88008069695
ENSG00000002586	3284	9902.04439602622
ENSG00000002587	8166	5.91133090674068
ENSG00000002726	3824	0
ENSG00000002745	3261	13.3780119928353
ENSG00000002746	13965	1382.90135335881
ENSG00000002822	7230	373.003979990141
ENSG00000002834	7061	2636.50859679211
ENSG00000002919	3606	267.905317549231
ENSG00000002933	3479	8.87699861206828
ENSG00000003056	3777	1450.26151916498
ENSG00000003096	6983	1.01022744768326
ENSG00000003137	5015	0
ENSG00000003147	4891	74.3767455541856
ENSG00000003249	4791	125.333218150447
ENSG00000003393	10384	416.938871712406
ENSG00000003400	7598	4456.77342036005
ENSG00000003402	22529	3332.62532400958
ENSG00000003436	11714	6.06136468609958
ENSG00000003509	3651	437.263447689558
ENSG00000003756	10368	13283.3756859417
ENSG00000003987	5692	135.280457721942
ENSG00000003989	7905	699.002376907139
ENSG00000004059	1871	1671.81140001829
ENSG00000004139	11137	96.6217539071319
ENSG00000004142	2121	1432.34748590953
ENSG00000004399	9738	9003.30204865858
ENSG00000004455	5727	2347.87361206146
ENSG00000004468	6855	2037.99884529956
