geneName	geneLengths	SangerProjectTARGET_ALL_phase1_SRR527439
ENSG00000000003	4535	1.16484443275642
ENSG00000000005	1610	0
ENSG00000000419	1207	491.149406039869
ENSG00000000457	6883	498.048484654478
ENSG00000000460	5967	327.161306970014
ENSG00000000938	3474	4240.57866245729
ENSG00000000971	8145	14.1331124952893
ENSG00000001036	2793	225.134932791073
ENSG00000001084	8463	199.673333237303
ENSG00000001167	3811	2306.1170135796
ENSG00000001460	8511	31.0508530980693
ENSG00000001461	9404	464.767929337484
ENSG00000001497	5589	1314.10449878379
ENSG00000001561	4651	73.6601625417732
ENSG00000001617	4826	203.697795762491
ENSG00000001626	8517	0
ENSG00000001629	7130	2031.52868538584
ENSG00000001630	4074	580.027536192417
ENSG00000001631	6204	1284.11850347189
ENSG00000002016	4190	803.472694656144
ENSG00000002079	6346	0
ENSG00000002330	1708	501.962961868419
ENSG00000002549	3785	1256.85714427952
ENSG00000002586	3284	14869.8541020123
ENSG00000002587	8166	106.710748571613
ENSG00000002726	3824	0.964871139579356
ENSG00000002745	3261	75.4649215126963
ENSG00000002746	13965	149.455039988212
ENSG00000002822	7230	1323.30826960226
ENSG00000002834	7061	5527.32681473446
ENSG00000002919	3606	483.755393524647
ENSG00000002933	3479	437.33659284592
ENSG00000003056	3777	2691.37056221755
ENSG00000003096	6983	2.65964479925501
ENSG00000003137	5015	0
ENSG00000003147	4891	42.1293735400789
ENSG00000003249	4791	87.5133124266146
ENSG00000003393	10384	516.141068354673
ENSG00000003400	7598	3445.2348821688
ENSG00000003402	22529	6050.53193967061
ENSG00000003436	11714	16.4777993577904
ENSG00000003509	3651	606.194041604636
ENSG00000003756	10368	7734.15208891932
ENSG00000003987	5692	162.083353452344
ENSG00000003989	7905	1.0098651305442
ENSG00000004059	1871	2749.71776983429
ENSG00000004139	11137	571.793635845851
ENSG00000004142	2121	1853.79242241006
ENSG00000004399	9738	4006.30994950036
ENSG00000004455	5727	2395.09013104641
ENSG00000004468	6855	1689.82432066952
ENSG00000004478	5180	1346.12022302144
ENSG00000004487	5435	2630.7436590586
ENSG00000004534	7302	6215.17495127562
ENSG00000004660	7424	2721.19157956258
ENSG00000004700	3778	1814.37768632486
ENSG00000004766	9454	651.223027895783
ENSG00000004776	1722	3.02959539163259
ENSG00000004777	5260	1747.5666090744
ENSG00000004779	1600	583.427082176427
ENSG00000004799	4519	184.990294185777
ENSG00000004809	3907	182.145674090333
ENSG00000004838	4009	81.789076909421
ENSG00000004846	9257	0.989867801226489
ENSG00000004848	3097	0
ENSG00000004864	3710	389.382997142059
ENSG00000004866	6742	85.9235247458569
ENSG00000004897	6824	1155.54567462369
ENSG00000004939	5287	181.91070547085
ENSG00000004948	4042	0
ENSG00000004961	2335	199.358375300549
ENSG00000004975	5350	1141.64253141556
ENSG00000005001	2387	0.764897846402287
ENSG00000005007	8600	1873.914735036
ENSG00000005020	5520	859.240246790899
ENSG00000005022	1500	8262.06158557746
ENSG00000005059	3566	1791.79570219284
ENSG00000005073	2307	0.504932565272098
ENSG00000005075	1355	1200.12472100519
ENSG00000005100	5872	570.803768044625
ENSG00000005102	2707	5.04932565272098
ENSG00000005108	10929	56.1325033948032
ENSG00000005156	12919	1009.26021133234
ENSG00000005175	5381	762.16821095042
ENSG00000005187	7822	81.0791717186425
ENSG00000005189	4114	112.864926669138
ENSG00000005194	3509	847.451821158111
ENSG00000005206	7130	4314.29881698702
ENSG00000005238	6409	689.992850110487
ENSG00000005243	1851	4.64937906636684
ENSG00000005249	4318	660.276818744374
ENSG00000005302	6496	2286.41964420166
ENSG00000005339	15492	8256.32235206328
ENSG00000005379	11354	2154.06732011242
ENSG00000005381	3526	1475.74291165881
ENSG00000005421	2832	1.0848551154856
ENSG00000005436	5465	796.658604691135
ENSG00000005448	2860	360.896801528985
ENSG00000005469	4979	194.853976871736
ENSG00000005471	7494	181.950700129485
ENSG00000005483	9231	9993.27537860231
ENSG00000005486	2441	887.546466440113
ENSG00000005513	4432	4.03946052217679
ENSG00000005700	8722	2065.49414923196
ENSG00000005801	5709	1366.61248623976
ENSG00000005810	15945	7532.30404611871
ENSG00000005812	7082	3338.47414027389
ENSG00000005844	6472	6203.02657371511
ENSG00000005882	5481	443.665747574974
ENSG00000005884	9802	67.8709357042971
ENSG00000005889	9037	1984.75993144405
ENSG00000005893	5526	1550.3229513492
ENSG00000005961	5551	115.839529405146
ENSG00000005981	4605	0.124983308235668
ENSG00000006007	4416	951.632907571034
ENSG00000006015	3370	884.101926465138
ENSG00000006016	3018	188.544819471999
ENSG00000006025	6572	1212.7830304633
ENSG00000006042	5187	0.949873142591076
ENSG00000006047	4618	2.51966349403106
ENSG00000006059	1287	0
ENSG00000006062	5852	1297.95665535974
ENSG00000006071	6778	0
ENSG00000006116	3088	0
ENSG00000006118	7271	16.9577352614154
ENSG00000006125	7587	5044.91624160643
ENSG00000006128	1888	0
ENSG00000006194	6945	1902.11096937397
ENSG00000006210	5983	0.504932565272098
ENSG00000006282	5337	1253.96253086079
ENSG00000006283	9709	1.0098651305442
ENSG00000006327	1848	63.5065185807075
ENSG00000006377	3449	0
ENSG00000006432	12386	120.948847045821
ENSG00000006451	3665	532.873833661264
ENSG00000006453	4798	83.9587871403922
ENSG00000006459	9430	1990.49416562591
ENSG00000006468	9616	1.0098651305442
ENSG00000006530	6547	973.824943781359
ENSG00000006534	6626	575.368158461391
ENSG00000006555	6055	28.1262436853547
ENSG00000006576	8646	1906.00544925859
