geneID	weight
ENSG00000274764	1
ENSG00000280267	1
ENSG00000229571	1
ENSG00000277058	1
ENSG00000275774	1
ENSG00000233336	0
ENSG00000179412	1
ENSG00000204505	1
ENSG00000279804	1
ENSG00000270601	1
ENSG00000182330	1
ENSG00000204501	1
ENSG00000228229	0
ENSG00000204481	1
ENSG00000204480	1
ENSG00000204479	1
ENSG00000204478	1
ENSG00000162494	1
ENSG00000259961	0
ENSG00000162493	1
ENSG00000237445	0
ENSG00000116731	1
ENSG00000231606	0
ENSG00000234593	0
ENSG00000189337	1
ENSG00000175147	0
ENSG00000171729	1
ENSG00000204464	0
ENSG00000142621	1
ENSG00000233485	0
ENSG00000236045	0
ENSG00000228140	0
ENSG00000142634	1
ENSG00000162438	1
ENSG00000142615	1
ENSG00000215704	1
ENSG00000132906	0.5
ENSG00000116138	0
ENSG00000272510	0
ENSG00000116771	0
ENSG00000237301	0
ENSG00000197312	1
ENSG00000215695	0.5
ENSG00000271742	0
ENSG00000116786	1
ENSG00000237938	0
ENSG00000162461	0
ENSG00000224459	0
ENSG00000162460	1
ENSG00000162458	1
ENSG00000233954	0.5
ENSG00000179743	0
ENSG00000065526	0.5
ENSG00000116809	0.5
ENSG00000183888	1
ENSG00000233078	0
ENSG00000173641	0
ENSG00000186510	1
ENSG00000184908	1
ENSG00000185519	1
ENSG00000142627	1
ENSG00000227959	0
ENSG00000224621	0
ENSG00000234166	0
ENSG00000142632	1
ENSG00000132881	1
ENSG00000037637	0.5
ENSG00000055070	0.5
ENSG00000187144	1
ENSG00000157191	1
ENSG00000226029	0
ENSG00000261135	0
ENSG00000224174	0
ENSG00000233421	0
ENSG00000268991	0
ENSG00000219481	1
ENSG00000271732	0
ENSG00000282143	0
ENSG00000237847	0
ENSG00000279151	0
ENSG00000279132	0
ENSG00000282740	0
ENSG00000058453	1
ENSG00000223643	0
ENSG00000230239	0
ENSG00000228549	0
ENSG00000238142	0
ENSG00000272426	0
ENSG00000117122	1
ENSG00000226526	0
ENSG00000159363	1
ENSG00000117118	0
ENSG00000117115	1
ENSG00000204362	0
ENSG00000282843	0
ENSG00000142623	1
ENSG00000142619	1
ENSG00000159339	1
ENSG00000280226	0
ENSG00000276747	1
ENSG00000227751	0
ENSG00000179051	1
ENSG00000074964	0.5
ENSG00000236648	0
ENSG00000117148	1
ENSG00000261781	0
ENSG00000117154	1
ENSG00000230035	0
ENSG00000225387	0
ENSG00000179023	1
ENSG00000009709	1
ENSG00000179002	1
ENSG00000255275	0
ENSG00000159423	0
ENSG00000169991	1
ENSG00000127481	1
ENSG00000230424	0
ENSG00000127463	0.5
ENSG00000053372	0.5
ENSG00000162482	1
ENSG00000053371	0
ENSG00000040487	0.5
ENSG00000077549	0.5
ENSG00000235185	0
ENSG00000173436	0.5
ENSG00000270136	0
ENSG00000158747	1
ENSG00000158748	1
ENSG00000162542	1
ENSG00000178828	1
ENSG00000235434	0
ENSG00000169914	1
ENSG00000188784	1
ENSG00000188257	1
ENSG00000127472	1
ENSG00000117215	1
ENSG00000158786	1
ENSG00000227066	0
ENSG00000187980	1
ENSG00000225986	0
ENSG00000162543	1
ENSG00000228105	0
ENSG00000158816	1
ENSG00000226664	0
ENSG00000236963	0
ENSG00000226487	0
ENSG00000162545	1
ENSG00000090432	0
ENSG00000183114	1
ENSG00000158825	1
ENSG00000158828	0
ENSG00000117242	0
ENSG00000244038	0.5
ENSG00000117245	1
ENSG00000189410	1
ENSG00000233069	0
ENSG00000127483	0.5
ENSG00000075151	0.5
ENSG00000117298	1
ENSG00000236936	0
ENSG00000231105	0
ENSG00000236009	0
ENSG00000142794	1
ENSG00000162551	1
ENSG00000233431	0
ENSG00000076864	1
ENSG00000090686	1
ENSG00000187942	1
ENSG00000142798	1
ENSG00000219073	1
ENSG00000142789	1
ENSG00000228397	0
ENSG00000218510	0
ENSG00000070831	0.5
ENSG00000271840	0
ENSG00000162552	1
ENSG00000184677	1
ENSG00000070886	1
ENSG00000173372	1
ENSG00000159189	1
ENSG00000173369	1
ENSG00000133216	1
ENSG00000225952	0
ENSG00000215906	1
ENSG00000227868	1
ENSG00000004487	1
ENSG00000240553	0
ENSG00000169641	1
ENSG00000179546	1
ENSG00000261326	0
ENSG00000125944	0.5
ENSG00000125945	1
ENSG00000249087	0
ENSG00000271420	0
ENSG00000204219	1
ENSG00000088280	1
ENSG00000007968	1
ENSG00000235052	0
ENSG00000117318	1
ENSG00000197880	0
ENSG00000142676	0
ENSG00000011007	0.5
ENSG00000236810	0
ENSG00000057757	0.5
ENSG00000011009	1
ENSG00000117308	1
ENSG00000117305	0
ENSG00000179163	1
ENSG00000188822	1
ENSG00000232557	0
ENSG00000189266	0.5
ENSG00000188529	0.5
ENSG00000225315	0
ENSG00000142661	1
ENSG00000230703	0
ENSG00000142677	1
ENSG00000185436	1
ENSG00000230023	0
ENSG00000232298	0
ENSG00000158055	1
ENSG00000001460	1
ENSG00000001461	1
ENSG00000117602	1
ENSG00000264443	0
ENSG00000184454	1
ENSG00000133226	0.5
ENSG00000169504	0
ENSG00000020633	1
ENSG00000229162	0
ENSG00000261025	0
ENSG00000233755	0
ENSG00000231953	0
ENSG00000117614	0.5
ENSG00000117616	1
ENSG00000272432	0
ENSG00000187010	1
ENSG00000183726	0.5
ENSG00000188672	1
ENSG00000204178	0.5
ENSG00000157978	1
ENSG00000225643	0
ENSG00000117643	1
ENSG00000233478	0
ENSG00000162430	1
ENSG00000255054	0
ENSG00000228172	0
ENSG00000117640	0.5
ENSG00000272478	0
ENSG00000127423	1
ENSG00000236528	0
ENSG00000182749	1
ENSG00000117632	1
ENSG00000158006	1
ENSG00000158008	1
ENSG00000158014	1
ENSG00000158022	1
ENSG00000175087	1
ENSG00000197245	1
ENSG00000282872	0
ENSG00000236782	0
ENSG00000142684	0.5
ENSG00000142675	1
ENSG00000188782	1
ENSG00000130695	1
ENSG00000142669	1
ENSG00000158062	1
ENSG00000169442	1
ENSG00000176092	1
ENSG00000176083	1
ENSG00000131914	1
ENSG00000117682	1
ENSG00000225891	0
ENSG00000198830	1
ENSG00000117676	0
ENSG00000260063	0
ENSG00000117713	1
ENSG00000060642	1
ENSG00000204160	1
ENSG00000175793	1
ENSG00000142751	0.5
ENSG00000226698	0
ENSG00000198746	1
ENSG00000090273	0.5
ENSG00000131910	1
ENSG00000175707	1
ENSG00000253368	1
ENSG00000158246	1
ENSG00000280403	0
ENSG00000090020	1
ENSG00000224311	0
ENSG00000142784	0.5
ENSG00000186501	0.5
ENSG00000142765	1
ENSG00000142733	1
ENSG00000142748	1
ENSG00000174950	1
ENSG00000181773	1
ENSG00000158195	1
ENSG00000241169	0
ENSG00000237429	0
ENSG00000126705	1
ENSG00000000938	1
ENSG00000233975	0
ENSG00000126709	1
ENSG00000225886	0
ENSG00000009780	1
ENSG00000117758	1
ENSG00000117751	0.5
ENSG00000278868	0
ENSG00000130775	1
ENSG00000117748	0.5
ENSG00000130768	1
ENSG00000227050	0
ENSG00000158156	1
ENSG00000158161	1
ENSG00000169403	1
ENSG00000126698	0
ENSG00000130770	0
ENSG00000270605	0
ENSG00000271398	0
ENSG00000130766	1
ENSG00000130772	1
ENSG00000204138	0.5
ENSG00000180198	1
ENSG00000180098	0.5
ENSG00000197989	0
ENSG00000120656	0.5
ENSG00000188060	1
ENSG00000229388	0
ENSG00000270103	0
ENSG00000162419	1
ENSG00000198492	0.5
ENSG00000116329	1
ENSG00000233427	0
ENSG00000159023	1
ENSG00000253304	1
ENSG00000225750	0
ENSG00000116350	0.5
ENSG00000116353	0
ENSG00000237934	0
ENSG00000060656	1
ENSG00000230523	0
ENSG00000228176	0
ENSG00000233399	0
ENSG00000233372	0
ENSG00000236335	0
ENSG00000231949	0
ENSG00000162510	1
ENSG00000186056	0
ENSG00000162511	1
ENSG00000229607	0
ENSG00000223382	0
ENSG00000235143	0
ENSG00000162512	1
ENSG00000134644	0.5
ENSG00000084628	1
ENSG00000060688	0.5
ENSG00000121766	1
ENSG00000229044	0
ENSG00000121769	1
ENSG00000168528	1
ENSG00000223907	0
ENSG00000229167	0
ENSG00000142910	1
ENSG00000121764	1
ENSG00000162517	0.5
ENSG00000235790	0
ENSG00000264078	0
ENSG00000084636	1
ENSG00000121753	1
ENSG00000254545	0
ENSG00000134668	1
ENSG00000203620	0
ENSG00000269967	0
ENSG00000184007	0.5
ENSG00000228634	0
ENSG00000121774	0.5
ENSG00000203325	0
ENSG00000121775	1
ENSG00000025800	1
ENSG00000084652	0.5
ENSG00000160050	1
ENSG00000224066	0
ENSG00000160051	1
ENSG00000222046	1
ENSG00000160055	1
ENSG00000084623	0.5
ENSG00000183615	1
ENSG00000182866	1
ENSG00000116478	1
ENSG00000175130	1
ENSG00000233775	0
ENSG00000162526	1
ENSG00000225828	1
ENSG00000160058	0.5
ENSG00000254553	0
ENSG00000273274	1
ENSG00000160062	1
ENSG00000176261	0.5
ENSG00000162521	0.5
ENSG00000162520	1
ENSG00000224409	0
ENSG00000162522	1
ENSG00000134684	0.5
ENSG00000116497	1
ENSG00000160097	1
ENSG00000121905	1
ENSG00000121900	1
ENSG00000116514	1
ENSG00000236065	0
ENSG00000004455	0
ENSG00000142920	1
ENSG00000116525	1
ENSG00000160094	1
ENSG00000270115	0
ENSG00000184389	1
ENSG00000225313	0
ENSG00000134686	0.5
ENSG00000233246	0
ENSG00000121903	1
ENSG00000121904	1
ENSG00000176256	1
ENSG00000231163	0
ENSG00000142698	1
ENSG00000163866	0.5
ENSG00000189280	1
ENSG00000189433	1
ENSG00000255811	0
ENSG00000188910	1
ENSG00000187513	1
ENSG00000230163	0
ENSG00000116544	1
ENSG00000271741	0
ENSG00000243749	1
ENSG00000163867	1
ENSG00000197056	1
ENSG00000116560	1
ENSG00000146463	1
ENSG00000227409	0
ENSG00000142687	0.5
ENSG00000020129	1
ENSG00000239636	0
ENSG00000116819	1
ENSG00000126067	0.5
ENSG00000142686	1
ENSG00000092853	1
ENSG00000232335	0
ENSG00000134698	1
ENSG00000092847	1
ENSG00000271914	0
ENSG00000126070	1
ENSG00000271554	0
ENSG00000092850	1
ENSG00000116863	0.5
ENSG00000171812	1
ENSG00000054116	0.5
ENSG00000116871	1
ENSG00000054118	0.5
ENSG00000214193	1
ENSG00000142694	1
ENSG00000116883	0
ENSG00000196182	1
ENSG00000181817	0.5
ENSG00000116885	1
ENSG00000116898	0
ENSG00000119535	1
ENSG00000234481	0
ENSG00000163873	1
ENSG00000223944	0
ENSG00000233621	0
ENSG00000163874	1
ENSG00000163875	0.5
ENSG00000163877	1
ENSG00000163879	1
ENSG00000134697	0.5
ENSG00000169218	1
ENSG00000116922	0.5
ENSG00000134690	1
ENSG00000183317	1
ENSG00000185090	1
ENSG00000233728	0
ENSG00000196449	0.5
ENSG00000197982	0.5
ENSG00000188786	1
ENSG00000204084	1
ENSG00000230955	0
ENSG00000183431	0.5
ENSG00000183386	1
ENSG00000183520	0.5
ENSG00000185668	1
ENSG00000224592	0
ENSG00000237290	0
ENSG00000238063	0
ENSG00000116954	1
ENSG00000228436	0
ENSG00000214114	1
ENSG00000274944	0
ENSG00000131233	1
ENSG00000158315	1
ENSG00000174574	0.5
ENSG00000168653	0
ENSG00000127603	1
ENSG00000226438	0
ENSG00000183682	1
ENSG00000182109	0
ENSG00000090621	1
ENSG00000228060	0
ENSG00000163909	1
ENSG00000225903	0
ENSG00000116981	1
ENSG00000116983	1
ENSG00000084072	0.5
ENSG00000116985	1
ENSG00000198754	1
ENSG00000261798	0
ENSG00000043514	0
ENSG00000116990	1
ENSG00000236546	0
ENSG00000168389	1
ENSG00000131236	1
ENSG00000131238	1
ENSG00000117000	1
ENSG00000188800	1
ENSG00000259943	0
ENSG00000084073	0.5
ENSG00000049089	1
ENSG00000084070	1
ENSG00000187801	1
ENSG00000187815	1
ENSG00000238287	0
ENSG00000164002	1
ENSG00000227278	0
ENSG00000238186	0
ENSG00000117010	1
ENSG00000117016	1
ENSG00000237899	0
ENSG00000272145	0
ENSG00000066136	0.5
ENSG00000117013	1
ENSG00000179862	1
ENSG00000229528	0
ENSG00000171793	1
ENSG00000281207	0
ENSG00000171790	1
ENSG00000010803	1
ENSG00000235358	0
ENSG00000204060	1
ENSG00000229901	0
ENSG00000127129	1
ENSG00000127124	1
ENSG00000230881	0
ENSG00000044012	1
ENSG00000197273	1
ENSG00000198815	1
ENSG00000177181	1
ENSG00000066185	1
ENSG00000127125	0.5
ENSG00000186409	1
ENSG00000171960	0.5
ENSG00000234917	0
ENSG00000065978	1
ENSG00000164007	1
ENSG00000117385	1
ENSG00000164008	0.5
ENSG00000228452	0
ENSG00000274386	0
ENSG00000177868	1
ENSG00000164010	1
ENSG00000228192	0
ENSG00000164011	0.5
ENSG00000117394	1
ENSG00000227533	0
ENSG00000186973	1
ENSG00000117395	0.5
ENSG00000243710	1
ENSG00000179178	1
ENSG00000253313	1
ENSG00000066056	1
ENSG00000117400	1
ENSG00000234694	0
ENSG00000117399	1
ENSG00000066322	0.5
ENSG00000159479	0.5
ENSG00000229431	0
ENSG00000198198	1
ENSG00000229372	0
ENSG00000178922	1
ENSG00000229348	0
ENSG00000142949	1
ENSG00000066135	0.5
ENSG00000236200	0
ENSG00000126091	1
ENSG00000229444	0
ENSG00000117407	1
ENSG00000237950	0
ENSG00000117408	1
ENSG00000132768	0.5
ENSG00000117410	0.5
ENSG00000117411	1
ENSG00000159214	1
ENSG00000196517	1
ENSG00000230615	0
ENSG00000171872	1
ENSG00000283039	1
ENSG00000178028	0.5
ENSG00000117419	0.5
ENSG00000187147	0.5
ENSG00000126106	1
ENSG00000198520	1
ENSG00000142945	1
ENSG00000225721	0
ENSG00000142937	0
ENSG00000142959	1
ENSG00000173846	1
ENSG00000188396	1
ENSG00000222009	1
ENSG00000117425	1
ENSG00000070785	0.5
ENSG00000126107	0.5
ENSG00000126088	0.5
ENSG00000162415	1
ENSG00000281912	0
ENSG00000186603	1
ENSG00000132781	0
ENSG00000132773	1
ENSG00000070759	1
ENSG00000280670	1
ENSG00000132763	0
ENSG00000117450	0
ENSG00000117448	0.5
ENSG00000132780	1
ENSG00000159588	1
ENSG00000159592	0.5
ENSG00000159596	0.5
ENSG00000197429	1
ENSG00000086015	1
ENSG00000117461	1
ENSG00000278139	0
ENSG00000226957	0
ENSG00000227857	0
ENSG00000117472	1
ENSG00000250719	0
ENSG00000085998	0.5
ENSG00000171357	1
ENSG00000085999	1
ENSG00000132128	0.5
ENSG00000173660	0
ENSG00000117481	1
ENSG00000117480	1
ENSG00000197587	1
ENSG00000282881	0
ENSG00000269956	0
ENSG00000162456	1
ENSG00000079277	0.5
ENSG00000142961	1
ENSG00000123472	0
ENSG00000186118	1
ENSG00000228237	0
ENSG00000159658	0.5
ENSG00000142973	1
ENSG00000187048	1
ENSG00000186377	1
ENSG00000186160	1
ENSG00000225506	0
ENSG00000162365	1
ENSG00000224805	0
ENSG00000162366	1
ENSG00000162367	1
ENSG00000226252	0
ENSG00000123473	1
ENSG00000162368	0.5
ENSG00000225762	0
ENSG00000186790	1
ENSG00000237424	0
ENSG00000186564	1
ENSG00000227947	0
ENSG00000269113	1
ENSG00000223814	0
ENSG00000225028	0
ENSG00000226133	0
ENSG00000231413	0
ENSG00000279096	0
ENSG00000223720	0
ENSG00000117834	1
ENSG00000272491	0
ENSG00000132122	1
ENSG00000186094	1
ENSG00000162373	1
ENSG00000229846	0
ENSG00000230114	0
ENSG00000162374	1
ENSG00000237337	0
ENSG00000233407	0
ENSG00000142700	1
ENSG00000185104	0.5
ENSG00000225767	0
ENSG00000123080	1
ENSG00000204006	1
ENSG00000203356	0
ENSG00000123091	0.5
ENSG00000236434	0
ENSG00000085831	1
ENSG00000261664	0
ENSG00000085832	1
ENSG00000238140	0
ENSG00000227070	0
ENSG00000117859	0.5
ENSG00000078618	1
ENSG00000266993	0
ENSG00000272175	0
ENSG00000169213	1
ENSG00000117862	0.5
ENSG00000198841	0.5
ENSG00000223390	0
ENSG00000228369	0
ENSG00000134717	1
ENSG00000157077	1
ENSG00000154222	0.5
ENSG00000272100	0
ENSG00000085840	1
ENSG00000134748	1
ENSG00000134744	0.5
ENSG00000272371	0
ENSG00000116157	1
ENSG00000182183	1
ENSG00000162377	1
ENSG00000162378	1
ENSG00000203995	1
ENSG00000242391	0
ENSG00000121310	1
ENSG00000116171	0
ENSG00000279054	0
ENSG00000174348	1
ENSG00000232993	0
ENSG00000162383	1
ENSG00000235563	0
ENSG00000157184	0
ENSG00000236723	0
ENSG00000162384	0.5
ENSG00000259818	0
ENSG00000162385	0.5
ENSG00000226754	0
ENSG00000157193	1
ENSG00000234578	0
ENSG00000228838	0
ENSG00000232762	0
ENSG00000225675	0
ENSG00000226938	0
ENSG00000230138	0
ENSG00000143006	1
ENSG00000174332	1
ENSG00000058804	1
ENSG00000058799	0.5
ENSG00000211452	1
ENSG00000081870	0
ENSG00000116212	0.5
ENSG00000203985	1
ENSG00000116209	0.5
ENSG00000116205	0.5
ENSG00000157211	1
ENSG00000256407	0
ENSG00000215883	1
ENSG00000116221	0
ENSG00000157216	1
ENSG00000198711	0
ENSG00000225632	0
ENSG00000232245	0
ENSG00000235741	0
ENSG00000162390	1
ENSG00000162391	1
ENSG00000184313	1
ENSG00000271723	0
ENSG00000243725	0.5
ENSG00000162396	0
ENSG00000006555	1
ENSG00000237453	0
ENSG00000162398	1
ENSG00000116133	1
ENSG00000242396	0
ENSG00000233203	0
ENSG00000143001	1
ENSG00000233271	0
ENSG00000162399	1
ENSG00000169174	1
ENSG00000162402	1
ENSG00000231090	0
ENSG00000234810	0
ENSG00000230250	0
ENSG00000233079	0
ENSG00000235612	0
ENSG00000260971	0
ENSG00000223956	0
ENSG00000162407	1
ENSG00000162409	1
ENSG00000187889	1
ENSG00000229913	0
ENSG00000157131	1
ENSG00000021852	1
ENSG00000236341	0
ENSG00000173406	1
ENSG00000227935	0
ENSG00000226759	0
ENSG00000235038	0
ENSG00000162600	0
ENSG00000184292	1
ENSG00000162601	1
ENSG00000177606	1
ENSG00000234807	0
ENSG00000272226	0
ENSG00000231740	0
ENSG00000232453	0
ENSG00000237352	0
ENSG00000241042	0
ENSG00000235215	0
ENSG00000270457	0
ENSG00000172456	1
ENSG00000226883	0
ENSG00000134709	1
ENSG00000134716	1
ENSG00000162598	1
ENSG00000238242	0
ENSG00000226476	0
ENSG00000231252	0
ENSG00000162599	1
ENSG00000237928	0
ENSG00000162604	0.5
ENSG00000271200	0
ENSG00000132849	1
ENSG00000240563	1
ENSG00000132854	1
ENSG00000162607	1
ENSG00000116641	1
ENSG00000132855	1
ENSG00000235545	0
ENSG00000125703	1
ENSG00000234318	0
ENSG00000229537	0
ENSG00000227485	0
ENSG00000229225	0
ENSG00000203605	0
ENSG00000228734	0
ENSG00000230798	0
ENSG00000187140	1
ENSG00000088035	1
ENSG00000142856	1
ENSG00000203965	1
ENSG00000079739	1
ENSG00000185483	1
ENSG00000223949	0
ENSG00000177414	1
ENSG00000158966	1
ENSG00000162437	1
ENSG00000162434	0.5
ENSG00000272506	0
ENSG00000231485	0
ENSG00000162433	1
ENSG00000116675	0
ENSG00000229294	0
ENSG00000213625	0.5
ENSG00000116678	1
ENSG00000184588	1
ENSG00000227466	0
ENSG00000118473	1
ENSG00000248458	0
ENSG00000152760	1
ENSG00000172410	1
ENSG00000152763	1
ENSG00000231080	0
ENSG00000198160	0.5
ENSG00000116704	1
ENSG00000203963	1
ENSG00000162594	1
ENSG00000081985	1
ENSG00000142864	0.5
ENSG00000235200	0
ENSG00000116717	1
ENSG00000172380	1
ENSG00000232284	0
ENSG00000162595	1
ENSG00000116729	1
ENSG00000116745	1
ENSG00000024526	1
ENSG00000233589	0
ENSG00000234264	0
ENSG00000223883	0
ENSG00000235446	0
ENSG00000229639	0
ENSG00000033122	1
ENSG00000237919	0
ENSG00000066557	0.5
ENSG00000116754	0.5
ENSG00000228988	0
ENSG00000118454	1
ENSG00000197568	1
ENSG00000226088	0
ENSG00000279230	0
ENSG00000116761	1
ENSG00000271992	0
ENSG00000229051	0
ENSG00000226208	0
ENSG00000050628	1
ENSG00000235782	0
ENSG00000235079	0
ENSG00000132485	0.5
ENSG00000172260	1
ENSG00000231985	0
ENSG00000225087	0
ENSG00000227016	0
ENSG00000233973	0
ENSG00000223479	0
ENSG00000162620	1
ENSG00000254685	0.5
ENSG00000259030	0
ENSG00000116783	1
ENSG00000237324	0
ENSG00000233894	0
ENSG00000162621	1
ENSG00000178965	1
ENSG00000234497	0
ENSG00000272864	0
ENSG00000116791	1
ENSG00000162623	1
ENSG00000229943	0
ENSG00000261213	0
ENSG00000224127	0
ENSG00000162624	1
ENSG00000224149	0
ENSG00000137968	1
ENSG00000178193	0
ENSG00000117054	0
ENSG00000137955	0.5
ENSG00000057468	1
ENSG00000154007	1
ENSG00000225605	0
ENSG00000230027	0
ENSG00000184005	1
ENSG00000272855	0
ENSG00000237552	0
ENSG00000117069	1
ENSG00000230498	0
ENSG00000142892	0.5
ENSG00000154027	1
ENSG00000233099	0
ENSG00000036549	0.5
ENSG00000077254	0.5
ENSG00000180488	1
ENSG00000235927	0
ENSG00000162614	1
ENSG00000162613	0.5
ENSG00000162616	0
ENSG00000137960	1
ENSG00000273338	0
ENSG00000122420	1
ENSG00000137959	1
ENSG00000137965	1
ENSG00000162618	1
ENSG00000235011	0
ENSG00000282898	0
ENSG00000260322	0
